setting,layers,alpha,target_label,accuracy_past,accuracy_present,accuracy_future
baseline_orig,,,,0.81,0.39666666666666667,0.7633333333333333
baseline_saes_llamascope,"[15, 16]",1.0,,0.13,0.09,0.1433
baseline_saes_multilingual,"[15, 16]",1.0,,0.81,0.39666666666666667,0.77
amplified,[15],2.0,past,0.8233333333333334,0.4066666666666667,0.8
amplified,[15],2.0,present,0.8033333333333333,0.41,0.78
amplified,[15],2.0,future,0.8166666666666667,0.4066666666666667,0.7933333333333333
amplified,[16],2.0,past,0.81,0.4033333333333333,0.78
amplified,[16],2.0,present,0.8033333333333333,0.42333333333333334,0.7733333333333333
amplified,[16],2.0,future,0.8,0.41,0.78
amplified,"[15, 16]",2.0,past,0.8233333333333334,0.39666666666666667,0.8166666666666667
amplified,"[15, 16]",2.0,present,0.7933333333333333,0.4266666666666667,0.7866666666666666
amplified,"[15, 16]",2.0,future,0.8,0.41333333333333333,0.8133333333333334
amplified,[15],5.0,past,0.8433333333333334,0.36,0.8533333333333334
amplified,[15],5.0,present,0.7766666666666666,0.43666666666666665,0.81
amplified,[15],5.0,future,0.83,0.38333333333333336,0.87
amplified,[16],5.0,past,0.82,0.3566666666666667,0.8133333333333334
amplified,[16],5.0,present,0.7733333333333333,0.48,0.7833333333333333
amplified,[16],5.0,future,0.7766666666666666,0.45666666666666667,0.7966666666666666
amplified,"[15, 16]",5.0,past,0.7966666666666666,0.36,0.8466666666666667
amplified,"[15, 16]",5.0,present,0.7166666666666667,0.5,0.8066666666666666
amplified,"[15, 16]",5.0,future,0.7566666666666667,0.48333333333333334,0.8233333333333334
attenuated,[15],0.1,past,0.8033333333333333,0.4,0.7466666666666667
attenuated,[15],0.1,present,0.82,0.3933333333333333,0.76
attenuated,[15],0.1,future,0.8033333333333333,0.39666666666666667,0.75
attenuated,[16],0.1,past,0.8133333333333334,0.39,0.7666666666666667
attenuated,[16],0.1,present,0.8166666666666667,0.38,0.7766666666666666
attenuated,[16],0.1,future,0.8166666666666667,0.38666666666666666,0.7733333333333333
attenuated,"[15, 16]",0.1,past,0.7866666666666666,0.4033333333333333,0.7333333333333333
attenuated,"[15, 16]",0.1,present,0.8166666666666667,0.37666666666666665,0.7633333333333333
attenuated,"[15, 16]",0.1,future,0.81,0.4,0.7566666666666667
attenuated,[15],0.0,past,0.7966666666666666,0.4033333333333333,0.7433333333333333
attenuated,[15],0.0,present,0.82,0.3933333333333333,0.76
attenuated,[15],0.0,future,0.8033333333333333,0.39666666666666667,0.7533333333333333
attenuated,[16],0.0,past,0.8133333333333334,0.3933333333333333,0.7633333333333333
attenuated,[16],0.0,present,0.8166666666666667,0.38,0.78
attenuated,[16],0.0,future,0.8133333333333334,0.38666666666666666,0.77
attenuated,"[15, 16]",0.0,past,0.7866666666666666,0.4066666666666667,0.73
attenuated,"[15, 16]",0.0,present,0.8133333333333334,0.37666666666666665,0.7633333333333333
attenuated,"[15, 16]",0.0,future,0.8133333333333334,0.3933333333333333,0.7533333333333333
